品种,板块,子节点,图名称,同花顺概念名,知几ID,知几名称,置信度
SI,,2.4,LME工业硅期限结构时序图,LME工业硅期限结构,a10154492,GFEX: 工业硅: 连四合约: 结算价: 日度,A
SI,,2.4,工业硅期货近远月价差时序图,工业硅期货近远月价差,a12841761,SMM: 工业硅期现价差: 当月合约: 开盘价: 日度,A
SI,,2.5,工业硅冶炼利润时序图,工业硅冶炼利润,ID01528162,工业硅：421#：利润：新疆（周）,A
SI,,2.5,工业硅冶炼成本时序图,工业硅冶炼成本,ID01523502,工业硅：421#：成本：新疆（周）,A
SI,,2.5,工业硅冶炼利润分位时序图,工业硅冶炼利润分位,ID01528162,工业硅：421#：利润：新疆（周）,A
SI,,2.5,工业硅期货主力合约收盘价时序图,工业硅主力合约收盘价,a10154400,GFEX: 工业硅: 主力合约: 收盘价: 日度,A
SI,,2.5,工业硅现货价格时序图,工业硅现货价格,a10102024,SMM: 硅产业链价格: SMM A00电解铝现货价格: 月度,A
SI,,2.6,工业硅多头前20持仓量时序图,多头前20持仓量,FU00039391,GFEX：工业硅：08合约：单边交易：持仓量（日）,A
SI,,2.6,工业硅空头前20持仓量时序图,空头前20持仓量,FU00039379,GFEX：工业硅：09合约：单边交易：持仓量（日）,A
SI,,2.6,工业硅多空持仓比时序图,多空持仓比,j02803953,SMM: 工业硅: 持仓量: 总计: 日度,A
SI,,2.6,工业硅前20净持仓时序图,前20净持仓,j02803953,SMM: 工业硅: 持仓量: 总计: 日度,A
SI,,2.6,工业硅前20总持仓量时序图,前20总持仓量,j02803953,SMM: 工业硅: 持仓量: 总计: 日度,A
SI,,3.1.1,海外硅矿季度产量时序图,海外硅矿季度产量,a12749972,SMM: 海外多晶硅产量: 月度,A
SI,,3.1.1,海外硅矿季度开工率时序图,海外硅矿季度开工率,a12749973,SMM: 海外多晶硅开工率: 月度,A
SI,,3.1.1,海外硅矿季度产能利用率时序图,海外硅矿季度产能利用率,ID01370110,有机硅DMC：产能利用率：中国（日）,A
SI,,3.1.1,海外硅矿季度检修量时序图,海外硅矿季度检修量,a12749972,SMM: 海外多晶硅产量: 月度,A
SI,,3.1.1,海外硅矿季度进口量时序图,海外硅矿季度进口量,a10125391,中国海关: 多晶硅进口量: 季度,A
SI,,3.1.2,中国硅矿月产量时序图,中国硅矿月产量,a10128068,SMM: 中国金属硅产量: 同比: 月度,A
SI,,3.1.2,美国硅矿月产量时序图,美国硅矿月产量,a10113485,SMM: 硅锰合金产量: 全国: 月度,A
SI,,3.1.2,巴西硅矿月产量时序图,巴西硅矿月产量,a10113473,SMM: 硅锰合金产量: 广西: 月度,B
SI,,3.1.2,中国硅矿月开工率时序图,中国硅矿月开工率,a10123444,SMM: 金属硅开工率分省份: 全国: 月度,A
SI,,3.1.2,美国硅矿月开工率时序图,美国硅矿月开工率,a10123444,SMM: 金属硅开工率分省份: 全国: 月度,A
SI,,3.1.3,国内硅矿月产量时序图,国内硅矿月产量,ID02467748,日本水泥协会：矿渣硅酸盐水泥：销量占比：国内（年）,A
SI,,3.1.3,国内硅矿月开工率时序图,国内硅矿月开工率,a10123444,SMM: 金属硅开工率分省份: 全国: 月度,A
SI,,3.1.3,国内硅矿月产能利用率时序图,国内硅矿月产能利用率,ID02467748,日本水泥协会：矿渣硅酸盐水泥：销量占比：国内（年）,A
SI,,3.1.3,国内硅矿月检修量时序图,国内硅矿月检修量,a10124321,中国海关: 金属硅出口量: 几内亚: 月度,A
SI,,3.1.3,国内硅矿月社会库存时序图,国内硅矿月社会库存,a10020032,SMM: 金属硅社会库存: 昆明: 周度,A
SI,,3.1.4,国内硅矿月进口总量时序图,国内硅矿月进口总量,ID02467748,日本水泥协会：矿渣硅酸盐水泥：销量占比：国内（年）,A
SI,,3.1.4,国内硅矿月进口量分国别时序图,国内硅矿月进口量分国别,ID02467748,日本水泥协会：矿渣硅酸盐水泥：销量占比：国内（年）,A
SI,,3.1.4,国内硅矿月进口盈亏时序图,国内硅矿月进口盈亏,ID02467748,日本水泥协会：矿渣硅酸盐水泥：销量占比：国内（年）,A
SI,,3.1.4,国内硅矿月仓单注册量时序图,国内硅矿月仓单注册量,a12860565,GFEX: 工业硅: 仓单日报国贸有色矿产（中远海运滨海）: 昨日仓单量: 日度,A
SI,,3.1.4,国内硅矿月进口量分国别占比时序图,国内硅矿月进口量分国别占比,a12754668,美国海关: 多晶硅进口量环比: 月度,A
SI,,3.1.5,工业硅矿端TC加工费时序图,工业硅矿端TC加工费,a12715181,SMM: 工业硅平衡新（按照下游消费算）: 终端消费量: 月度,A
SI,,3.1.5,工业硅矿端TC加工费分国别时序图,工业硅矿端TC加工费分国别,a12715181,SMM: 工业硅平衡新（按照下游消费算）: 终端消费量: 月度,A
SI,,3.1.5,工业硅冶炼厂开工率时序图,工业硅冶炼厂开工率,ID01877463,工业硅：开工率：中国（周）,A
SI,,3.1.5,工业硅冶炼厂产能利用率时序图,工业硅冶炼厂产能利用率,ID01445990,工业硅：产能利用率：中国（月）,A
SI,,3.1.5,工业硅冶炼厂检修量时序图,工业硅冶炼厂检修量,ID01305502,工业硅：553#：汇总价格：新疆（日）,A
SI,,3.2.1,工业硅精炼月产量时序图,工业硅精炼月产量,a12715175,SMM: 工业硅平衡新（按照下游消费算）: 工业硅产量: 月度,A
SI,,3.2.1,工业硅精炼月产能时序图,工业硅精炼月产能,a12750402,SMM: 工业硅产能（按300天计）: 月度,A
SI,,3.2.1,工业硅精炼月社会库存时序图,工业硅精炼月社会库存,a10167498,SMM: 硅片企业硅片库存: 月度,A
SI,,3.2.1,工业硅精炼月进口量时序图,工业硅精炼月进口量,a12715178,SMM: 工业硅平衡新（按照下游消费算）: 进口量: 月度,A
SI,,3.2.1,工业硅精炼月产量与产能时序图,工业硅精炼月产量与产能,a12750402,SMM: 工业硅产能（按300天计）: 月度,A
SI,,3.2.2,工业硅精炼月开工率时序图,工业硅精炼月开工率,a10020040,SMM: 金属硅企业开工率分规模: 大: 当月: 月度,A
SI,,3.2.2,工业硅精炼月检修量时序图,工业硅精炼月检修量,a12754661,美国海关: 工业硅进口量: 月度,A
SI,,3.2.2,工业硅精炼月产能利用率时序图,工业硅精炼月产能利用率,ID01445990,工业硅：产能利用率：中国（月）,A
SI,,3.2.2,工业硅精炼月开工天数时序图,工业硅精炼月开工天数,ID01448337,工业硅：产量：中国（月）,A
SI,,3.2.2,工业硅精炼月开工率与检修量时序图,工业硅精炼月开工率与检修量,ID01664944,工业硅：开工率：中国（月）,A
SI,,3.2.3,工业硅再生月产量时序图,工业硅再生月产量,a12715177,SMM: 工业硅平衡新（按照下游消费算）: 再生硅产量: 月度,A
SI,,3.2.3,工业硅再生月产能时序图,工业硅再生月产能,a12715177,SMM: 工业硅平衡新（按照下游消费算）: 再生硅产量: 月度,A
SI,,3.2.3,工业硅再生月社会库存时序图,工业硅再生月社会库存,a12715177,SMM: 工业硅平衡新（按照下游消费算）: 再生硅产量: 月度,B
SI,,3.2.3,工业硅再生月进口量时序图,工业硅再生月进口量,a12715178,SMM: 工业硅平衡新（按照下游消费算）: 进口量: 月度,A
SI,,3.2.3,工业硅再生月开工率时序图,工业硅再生月开工率,ID01664944,工业硅：开工率：中国（月）,A
SI,,3.2.4,工业硅冶炼利润时序图,工业硅冶炼利润,ID01528162,工业硅：421#：利润：新疆（周）,A
SI,,3.2.4,工业硅冶炼利润分位时序图,工业硅冶炼利润分位,ID01528162,工业硅：421#：利润：新疆（周）,A
SI,,3.2.4,工业硅TC加工费时序图,工业硅TC加工费,s20095960,SMM: 电力行业用杆加工费(西南) - 涨跌: 日度,B
SI,,3.2.4,工业硅冶炼厂开工率时序图,工业硅冶炼厂开工率,ID01877463,工业硅：开工率：中国（周）,A
SI,,3.2.4,工业硅冶炼厂检修量时序图,工业硅冶炼厂检修量,ID01305502,工业硅：553#：汇总价格：新疆（日）,A
SI,,4.1,工业硅交易所库存总量时序图,工业硅交易所库存总量,a12862942,广期所: 工业硅库存: 分仓库: 物产中大资本(云铝物流): 增减: 日度,A
SI,,4.1,LME工业硅库存时序图,LME工业硅库存,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,4.1,工业硅仓单注册量时序图,工业硅仓单注册量,a12862940,广期所: 工业硅库存: 分仓库: 物产中大资本(云铝物流): 昨日仓单量: 日度,A
SI,,4.1,工业硅仓单总量时序图,工业硅仓单总量,a10175359,GFEX: 工业硅: 仓单日报_象屿速传上海: 昨日仓单量: 日度,A
SI,,4.1,工业硅仓单注册量与LME工业硅仓单总量时序图,工业硅仓单注册量与LME工业硅仓单总量,a10175361,GFEX: 工业硅: 仓单日报_象屿速传上海: 增减: 日度,A
SI,,4.2,工业硅注销仓单量时序图,工业硅注销仓单量,a12862940,广期所: 工业硅库存: 分仓库: 物产中大资本(云铝物流): 昨日仓单量: 日度,A
SI,,4.2,工业硅注销仓单占比时序图,工业硅注销仓单占比,a12768740,GFEX: 工业硅: 仓单日报: 增减: 日度,A
SI,,4.2,LME工业硅注销仓单量时序图,LME工业硅注销仓单量,a12768741,GFEX: 工业硅: 仓单日报:今日仓单量: 日度,A
SI,,4.2,LME工业硅注销仓单占比时序图,LME工业硅注销仓单占比,a12768740,GFEX: 工业硅: 仓单日报: 增减: 日度,A
SI,,4.2,工业硅仓单总量时序图,工业硅仓单总量,a10175359,GFEX: 工业硅: 仓单日报_象屿速传上海: 昨日仓单量: 日度,A
SI,,4.3,工业硅社会库存总量时序图,工业硅社会库存总量,a12862940,广期所: 工业硅库存: 分仓库: 物产中大资本(云铝物流): 昨日仓单量: 日度,A
SI,,4.3,工业硅社会库存天数时序图,工业硅社会库存天数,a10020033,SMM: 金属硅社会库存: 天津港: 周度,A
SI,,4.3,工业硅社会库存分地区时序图,工业硅社会库存分地区,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,4.3,工业硅社会库存与工业硅主力合约收盘价时序图,工业硅社会库存与工业硅主力合约收盘价,a12841764,SMM: 工业硅期现价差: 当月合约: 收盘价: 日度,A
SI,,4.3,工业硅社会库存厂内库存时序图,工业硅社会库存厂内库存,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,4.4,工业硅工厂库存总量时序图,工业硅工厂库存总量,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,4.4,工业硅工厂库存天数时序图,工业硅工厂库存天数,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,4.4,工业硅工厂库存分地区时序图,工业硅工厂库存分地区,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,4.4,工业硅工厂库存总量与工业硅主力合约收盘价时序图,工业硅工厂库存总量与工业硅主力合约收盘价,a12841764,SMM: 工业硅期现价差: 当月合约: 收盘价: 日度,A
SI,,4.4,工业硅工厂库存厂内库存时序图,工业硅工厂库存厂内库存,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,4.5,工业硅隐性库存总量时序图,工业硅隐性库存总量,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,4.5,工业硅在途库存总量时序图,工业硅在途库存总量,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,4.5,工业硅隐性库存占比时序图,工业硅隐性库存占比,a12811429,SMM: 下游原料工业硅库存: 环比: 周度,A
SI,,4.5,工业硅在途库存占比时序图,工业硅在途库存占比,a12811429,SMM: 下游原料工业硅库存: 环比: 周度,A
SI,,4.5,工业硅隐性库存分持有者时序图,工业硅隐性库存分持有者,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,7.1,工业硅冶炼成本时序图,工业硅冶炼成本,n00109764,NBS: 黑色金属冶炼和压延加工业营业成本_累计值: 月度,B
SI,,7.1,工业硅现金成本时序图,工业硅现金成本,ID02313934,工业硅：421#：现金成本：新疆（周）,A
SI,,7.1,工业硅冶炼成本分位时序图,工业硅冶炼成本分位,n00109764,NBS: 黑色金属冶炼和压延加工业营业成本_累计值: 月度,B
SI,,7.1,工业硅电价时序图,工业硅电价,a12841761,SMM: 工业硅期现价差: 当月合约: 开盘价: 日度,A
SI,,7.1,工业硅原料成本时序图,工业硅原料成本,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,7.2,工业硅冶炼利润时序图,工业硅冶炼利润,ID01528162,工业硅：421#：利润：新疆（周）,A
SI,,7.2,工业硅冶炼利润分位时序图,工业硅冶炼利润分位,ID01528162,工业硅：421#：利润：新疆（周）,A
SI,,7.2,工业硅加工费时序图,工业硅加工费,s20095960,SMM: 电力行业用杆加工费(西南) - 涨跌: 日度,B
SI,,7.2,工业硅能源成本时序图,工业硅能源成本,a12795316,SMM: 西北工业硅调研样本产能占比: 周度,A
SI,,7.2,工业硅冶炼利润与工业硅期货主力合约收盘价时序图,工业硅冶炼利润与工业硅期货主力合约收盘价,a12841764,SMM: 工业硅期现价差: 当月合约: 收盘价: 日度,A
SI,,6.1,工业硅进口量时序图,工业硅进口量,a12715178,SMM: 工业硅平衡新（按照下游消费算）: 进口量: 月度,A
SI,,6.1,工业硅进口量分国别时序图,工业硅进口量分国别,a12754661,美国海关: 工业硅进口量: 月度,A
SI,,6.1,工业硅保税区库存时序图,工业硅保税区库存,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,6.1,工业硅保税区仓单时序图,工业硅保税区仓单,j02803953,SMM: 工业硅: 持仓量: 总计: 日度,A
SI,,6.1,工业硅进口量与保税区库存时序图,工业硅进口量与保税区库存,CM0000294599,工业硅：Si＜99.99%：进口数量：保税区仓储转口货物（月）,A
SI,,6.2,工业硅出口量时序图,工业硅出口量,a12715179,SMM: 工业硅平衡新（按照下游消费算）: 出口量: 月度,A
SI,,6.2,工业硅出口量分国别时序图,工业硅出口量分国别,a12754666,美国海关: 工业硅出口量环比: 月度,A
SI,,6.2,工业硅保税区仓单时序图,工业硅保税区仓单,j02803953,SMM: 工业硅: 持仓量: 总计: 日度,A
SI,,6.2,工业硅出口量与保税区仓单时序图,工业硅出口量与保税区仓单,a12715179,SMM: 工业硅平衡新（按照下游消费算）: 出口量: 月度,A
SI,,6.2,工业硅进口量分国别时序图,工业硅进口量分国别,a12754661,美国海关: 工业硅进口量: 月度,A
SI,,6.3,工业硅制品出口量时序图,工业硅制品出口量,a12715179,SMM: 工业硅平衡新（按照下游消费算）: 出口量: 月度,A
SI,,6.3,工业硅制品出口量分国别时序图,工业硅制品出口量分国别,a12754666,美国海关: 工业硅出口量环比: 月度,A
SI,,6.3,工业硅制品出口量与工业硅出口量时序图,工业硅制品出口量与工业硅出口量,a12715179,SMM: 工业硅平衡新（按照下游消费算）: 出口量: 月度,A
SI,,6.3,工业硅制品出口关税税率时序图,工业硅制品出口关税税率,a12754666,美国海关: 工业硅出口量环比: 月度,A
SI,,6.3,工业硅制品出口量与沪硅主力合约收盘价时序图,工业硅制品出口量与沪硅主力合约收盘价,a10154400,GFEX: 工业硅: 主力合约: 收盘价: 日度,A
SI,,6.4,工业硅海外发运量时序图,工业硅海外发运量,a12842786,SMM: 海外企业硅片产量: 月度,A
SI,,6.4,工业硅海外发运量分国别时序图,工业硅海外发运量分国别,a12768839,GFEX: 工业硅: 仓单日报分仓库: 厦门国贸（外运天津滨海）: 昨日仓单量: 日度,A
SI,,6.4,工业硅海外发运量与工业硅进口量时序图,工业硅海外发运量与工业硅进口量,a12715178,SMM: 工业硅平衡新（按照下游消费算）: 进口量: 月度,A
SI,,6.4,工业硅海外发运发运天数时序图,工业硅海外发运发运天数,a10178267,GFEX: 工业硅: 仓单日报_外运天津滨海: 增减: 日度,A
SI,,6.4,工业硅海外发运量与沪硅主力合约收盘价时序图,工业硅海外发运量与沪硅主力合约收盘价,a10154400,GFEX: 工业硅: 主力合约: 收盘价: 日度,A
SI,,5.1,工业硅下游开工率时序图,工业硅下游开工率,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,5.1,有机硅开工率时序图,有机硅开工率,a10154946,SMM: 有机硅DMC开工率: 月度,A
SI,,5.1,工业硅表观消费量时序图,工业硅表观消费量,a12715180,SMM: 工业硅平衡新（按照下游消费算）: 表观消费量: 月度,A
SI,,5.1,有机硅表观消费量时序图,有机硅表观消费量,a12857251,SMM: 中国有机硅聚硅氧烷平衡: 表观消费量: 月度,B
SI,,5.1,工业硅下游开工率与有机硅开工率时序图,工业硅下游开工率与有机硅开工率,a10154946,SMM: 有机硅DMC开工率: 月度,A
SI,,5.2,工业硅下游终端产量时序图,工业硅下游终端产量,a12715181,SMM: 工业硅平衡新（按照下游消费算）: 终端消费量: 月度,A
SI,,5.2,有机硅终端产量时序图,有机硅终端产量,a10123979,SMM: 有机硅单体产量: 年度,A
SI,,5.2,工业硅下游库存时序图,工业硅下游库存,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,5.2,有机硅下游库存时序图,有机硅下游库存,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,5.2,工业硅下游终端产量与有机硅终端产量时序图,工业硅下游终端产量与有机硅终端产量,a12715181,SMM: 工业硅平衡新（按照下游消费算）: 终端消费量: 月度,A
SI,,5.3,工业硅下游订单量时序图,工业硅下游订单量,a12715178,SMM: 工业硅平衡新（按照下游消费算）: 进口量: 月度,A
SI,,5.3,有机硅订单量时序图,有机硅订单量,a10123979,SMM: 有机硅单体产量: 年度,A
SI,,5.3,工业硅下游排产计划时序图,工业硅下游排产计划,a12715175,SMM: 工业硅平衡新（按照下游消费算）: 工业硅产量: 月度,A
SI,,5.3,工业硅下游订单量同比增速时序图,工业硅下游订单量同比增速,a12811429,SMM: 下游原料工业硅库存: 环比: 周度,A
SI,,5.3,有机硅订单量同比增速时序图,有机硅订单量同比增速,a10123980,SMM: 有机硅单体产量: 同比: 年度,A
